gx(degree/s);gy(degree/s);gz(degree/s);inclinacionX;inclinacionY;time(s)
0.0763;0.1985;0.0000;-18.7742;-68.3971;1.0069
0.1069;0.1221;-0.0763;14.8920;-68.6879;1.0095
0.1679;0.1069;-0.0305;21.3523;-50.2335;1.0121
-0.0153;0.1832;0.0153;0.0000;41.1859;1.0148
0.0611;0.1832;-0.0458;16.3879;34.3521;1.0173
0.0000;0.0916;-0.0611;9.3359;76.7373;1.0199
-0.0153;0.1679;-0.0763;-39.1364;26.7973;1.0229
-0.0305;0.0916;-0.0763;-16.9541;-49.3036;1.0255
-0.0153;0.1374;0.0000;-8.4671;-44.3789;1.0279
0.0763;0.1221;0.0611;-64.2816;-16.7562;1.0302
-0.1832;0.1374;-0.0153;-83.2879;-6.0008;1.0328
-0.1985;0.1832;0.0458;-35.4030;19.3321;1.0351
-0.0611;0.2595;0.1069;-34.7365;-27.1191;1.0376
-0.0305;0.1832;0.0916;-58.5530;-20.4265;1.0404
0.0611;0.1985;-0.0153;-16.6709;24.8819;1.0430
0.0458;0.0611;-0.0305;-15.2940;14.0922;1.0455
0.0153;0.1527;-0.0305;-11.6423;15.6089;1.0480
0.1527;0.0611;-0.0458;21.2420;23.1102;1.0505
0.1679;-0.0305;-0.0153;17.9477;20.2836;1.0530
0.0305;0.0763;-0.0305;23.4266;19.9242;1.0554
-0.1374;0.2137;0.0153;43.7396;3.3029;1.0578
0.0153;0.1221;0.1221;-10.1010;-14.5100;1.0603
0.0153;0.1374;0.0305;-10.8445;-16.3925;1.0633
0.0763;-0.0763;0.0458;-27.5533;-52.4651;1.0658
0.1221;-0.0305;-0.0611;-16.6894;-68.9625;1.0683
0.0611;0.0153;-0.0458;2.2059;-74.2068;1.0710
0.0458;0.0153;-0.0611;-22.2906;-53.2022;1.0737
0.0611;-0.0153;-0.1069;-3.8902;-17.7765;1.0762
0.1069;-0.0458;0.0000;3.5152;-10.5994;1.0787
0.0153;0.0305;0.0153;42.0111;5.7617;1.0812
