ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0022;0.0049;0.0010;0.0054;0.5731
0.0032;0.0010;0.0059;0.0067;0.5741
0.0015;-0.0005;0.0078;0.0080;0.5750
0.0049;0.0010;0.0007;0.0050;0.5767
0.0076;0.0024;-0.0010;0.0080;0.5776
0.0032;0.0002;0.0029;0.0043;0.5785
0.0012;-0.0037;0.0085;0.0094;0.5794
-0.0005;-0.0012;0.0015;0.0020;0.5803
-0.0005;-0.0056;-0.0039;0.0069;0.5812
0.0000;-0.0020;-0.0015;0.0024;0.5821
-0.0022;0.0034;0.0054;0.0067;0.5831
0.0032;0.0010;0.0125;0.0129;0.5840
